res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
3400299,Bikanervala,['Quick Bites'],https://www.zomato.com/agra/bikanervala-khandari?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kalyani Point, Near Tulsi Cinema, Bypass Road, Khandari, Agra",Agra,34,Khandari,27.21145,78.00238056,,1,"Khandari, Agra","North Indian, South Indian, Mithai, Street Food, Desserts",8:30am – 10:30pm (Mon-Sun),700,2,Rs.,"['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'Cash', 'Air Conditioned', 'Indoor Seating', 'Pure Veg']",4.4,Very Good,814,154,0,-1,-1
3400005,Mama Chicken Mama Franky House,['Quick Bites'],https://www.zomato.com/agra/mama-chicken-mama-franky-house-agra-cantt?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra,34,Agra Cantt,27.1605689,78.0115831,282001,1,"Agra Cantt, Agra","North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food","12:30PM to 12Midnight (Mon, Wed, Thu, Fri, Sat, Sun), 1PM to 12Midnight (Tue)",600,2,Rs.,"['Delivery', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']",4.4,Very Good,1203,161,0,-1,-1
3401013,Bhagat Halwai,['Quick Bites'],https://www.zomato.com/agra/bhagat-halwai-2-shahganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"62/1, Near Easy Day, West Shivaji Nagar, Goalpura, Shahganj",Agra,34,Shahganj,27.18293767,77.97968365,282010,1,"Shahganj, Agra","Fast Food, Mithai",9:30 AM to 11 PM,300,1,Rs.,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Delivery', 'Outdoor Seating', 'Air Conditioned', 'Self Service', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes']",4.2,Very Good,801,107,0,1,-1
3400290,Bhagat Halwai,['Quick Bites'],https://www.zomato.com/agra/bhagat-halwai-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Anjana Cinema, Nehru Nagar, Civil Lines, Agra",Agra,34,Civil Lines,27.20566794,78.00479852,282002,1,"Civil Lines, Agra","Desserts, Bakery, Fast Food, South Indian",8am – 11pm (Mon-Sun),300,1,Rs.,"['Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Smoking Area', 'Dance Floor', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.3,Very Good,693,157,0,1,-1
3401744,The Salt Cafe Kitchen & Bar,['Casual Dining'],https://www.zomato.com/agra/the-salt-cafe-kitchen-bar-tajganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1C,3rd Floor, Fatehabad Road, Tajganj, Agra",Agra,34,Tajganj,27.1577095,78.0524211,,1,"Tajganj, Agra","North Indian, Continental, Italian",11:30 AM to 11:30 PM,1000,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Wine', 'Live Music', 'Rooftop', 'Digital Payments Accepted', 'Air Conditioned', 'Smoking Area', 'Dance Floor', 'Live Sports Screening', 'Fullbar', 'Outdoor Seating', 'Beer', 'Indoor Seating', 'Serves Cocktails', 'Table booking recommended', 'Available for Functions', 'Resto Bar', 'Hookah', 'Wifi', 'DJ', 'Live Entertainment', 'City View']",4.9,Excellent,470,291,0,1,-1
3400275,Domino's Pizza,['Quick Bites'],https://www.zomato.com/agra/dominos-pizza-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"114/23 G, Deep Shikha Complex, Sanjay Place, Civil Lines, Agra",Agra,34,Civil Lines,27.20151564,78.00755583,,1,"Civil Lines, Agra","Pizza, Fast Food",10:57 AM to 11 PM,400,2,Rs.,"['Credit Card', 'Lunch', 'Delivery', 'Dinner', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Cash', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned', 'Free Parking']",4,Very Good,707,62,0,-1,-1
3400296,Honeydew Restaurant,['Quick Bites'],https://www.zomato.com/agra/honeydew-restaurant-dayal-bagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Soami Bagh Temple, Dayal Bagh, Agra",Agra,34,Dayal Bagh,27.22217513,78.01017366,282005,1,"Dayal Bagh, Agra","North Indian, Fast Food, Chinese, South Indian","11am – 10:35pm (Mon, Tue, Wed, Fri, Sat), 11am – 10:30pm (Thu),11am – 10:45pm (Sun)",500,2,Rs.,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Table booking recommended']",4.2,Very Good,647,46,0,1,-1
3400368,Domino's Pizza,['Quick Bites'],https://www.zomato.com/agra/dominos-pizza-sikandra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot C-1/6, Sector 13, Sikandra, Agra",Agra,34,Sikandra,27.20393,77.95426,,1,"Sikandra, Agra","Pizza, Fast Food",10:57 AM to 11 PM,400,2,Rs.,"['Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned']",3.8,Good,617,18,0,-1,-1
3401284,Cake House,['Bakery'],https://www.zomato.com/agra/cake-house-2-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"23/301, Wazirpura Rd, Judge Compound Chowraha, Wazirpura, Civil Lines, Agra",Agra,34,Civil Lines,27.2041478,78.0090248,,1,"Civil Lines, Agra","Bakery, Fast Food",9 AM to 9 PM,500,2,Rs.,"['Takeaway Available', 'Cash', 'Indoor Seating', 'Desserts and Bakes']",3.4,Average,322,14,0,1,-1
3400838,Sugar N Thyme,['Café'],https://www.zomato.com/agra/sugar-n-thyme-tajganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1374 K/1375 K, Ground floor, Dinesh Nagar, Fatehabad Road, Tajganj, Agra",Agra,34,Tajganj,27.15824318,78.04559089,282001,1,"Tajganj, Agra","Cafe, Chinese, Continental, Italian, Bakery, Desserts","12midnight – 1am, 11:30am – 12midnight (Mon-Sun)",1000,3,Rs.,"['No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Desserts and Bakes', 'Indoor Seating', 'Free Wifi', 'Digital Payments Accepted']",4.4,Very Good,289,324,0,1,-1
